X;Y;Z
5.333867549896240234e+00;3.737280130386352539e+00;2.308683633804321289e+00
6.130558490753173828e+00;4.797709465026855469e+00;3.204922199249267578e+00
6.035203933715820312e+00;4.548183441162109375e+00;3.327649593353271484e+00
6.233098983764648438e+00;4.729072570800781250e+00;3.302391767501831055e+00
8.165491104125976562e+00;4.984167575836181641e+00;5.368546009063720703e+00
8.046962738037109375e+00;5.462246894836425781e+00;7.831654548645019531e+00
3.332828760147094727e+00;4.482367992401123047e+00;3.125746488571166992e+00
1.009346961975097656e+01;3.659656524658203125e+00;7.834218978881835938e+00
9.328197479248046875e+00;3.779573202133178711e+00;7.779320716857910156e+00
7.665101528167724609e+00;5.802596569061279297e+00;7.321708202362060547e+00
7.460071086883544922e+00;5.575896739959716797e+00;7.059561252593994141e+00
8.656489372253417969e+00;4.415642738342285156e+00;8.265579223632812500e+00
7.371836662292480469e+00;4.857951164245605469e+00;7.586634635925292969e+00
7.097630500793457031e+00;4.857022762298583984e+00;4.371907234191894531e+00
5.287945270538330078e+00;5.679921627044677734e+00;1.728630781173706055e+00
7.936405658721923828e+00;5.150235652923583984e+00;8.138406753540039062e+00
3.870604753494262695e+00;5.261352539062500000e+00;2.627482891082763672e+00
7.627005577087402344e+00;5.459976673126220703e+00;7.736949920654296875e+00
8.079907417297363281e+00;3.580388545989990234e+00;7.803038120269775391e+00
4.986353397369384766e+00;2.762101173400878906e+00;6.593509674072265625e+00
8.698395729064941406e+00;3.001019716262817383e+00;5.024605751037597656e+00
8.137791633605957031e+00;3.132368326187133789e+00;4.501382350921630859e+00
6.374267101287841797e+00;3.640394926071166992e+00;4.261713504791259766e+00
7.640728950500488281e+00;4.220445156097412109e+00;4.108260154724121094e+00
6.757404804229736328e+00;4.441328525543212891e+00;4.082396984100341797e+00
7.716307163238525391e+00;4.221347808837890625e+00;4.179049015045166016e+00
7.378990173339843750e+00;4.747428894042968750e+00;4.222939491271972656e+00
6.814707279205322266e+00;3.247535467147827148e+00;3.975025892257690430e+00
5.175142765045166016e+00;4.027891635894775391e+00;2.421834468841552734e+00
5.290670394897460938e+00;3.752449512481689453e+00;2.413281440734863281e+00
4.993696212768554688e+00;4.006443023681640625e+00;2.918415784835815430e+00
7.508502006530761719e+00;3.262409448623657227e+00;7.383320331573486328e+00
7.851882934570312500e+00;3.404564142227172852e+00;7.517516136169433594e+00
6.763267040252685547e+00;5.582590579986572266e+00;6.743479728698730469e+00
8.506741523742675781e+00;4.922060012817382812e+00;8.150763511657714844e+00
7.582030296325683594e+00;5.910872459411621094e+00;7.240702629089355469e+00
7.875299930572509766e+00;5.061145305633544922e+00;8.139226913452148438e+00
8.586458206176757812e+00;4.735626697540283203e+00;8.178877830505371094e+00
8.172513961791992188e+00;4.303358078002929688e+00;6.470888137817382812e+00
8.032311439514160156e+00;4.166652679443359375e+00;6.736199378967285156e+00
8.034104347229003906e+00;3.628603219985961914e+00;7.410314083099365234e+00
4.950136661529541016e+00;2.651700496673583984e+00;6.598033428192138672e+00
7.238131999969482422e+00;3.589067935943603516e+00;4.056228160858154297e+00
4.973860263824462891e+00;5.389427185058593750e+00;3.968778371810913086e+00
4.247976303100585938e+00;5.062671184539794922e+00;3.707774400711059570e+00
9.941301345825195312e+00;3.488617897033691406e+00;7.254159927368164062e+00
6.373708248138427734e+00;2.530568361282348633e+00;5.797553539276123047e+00
5.080914020538330078e+00;4.066281318664550781e+00;3.121972322463989258e+00
6.278585433959960938e+00;2.554957628250122070e+00;5.991674900054931641e+00
6.907607078552246094e+00;5.710679531097412109e+00;6.882586002349853516e+00
8.361905097961425781e+00;5.641416549682617188e+00;8.062556266784667969e+00
6.724633216857910156e+00;5.560068607330322266e+00;6.676821708679199219e+00
6.581563472747802734e+00;5.783757209777832031e+00;5.608113288879394531e+00
8.288434028625488281e+00;5.553240299224853516e+00;7.845453262329101562e+00
1.045147323608398438e+01;3.972901821136474609e+00;8.000284194946289062e+00
7.455622673034667969e+00;4.223767280578613281e+00;4.463990211486816406e+00
8.225345611572265625e+00;4.278036117553710938e+00;6.532357215881347656e+00
3.248492956161499023e+00;5.214831352233886719e+00;3.673773765563964844e+00
6.105340003967285156e+00;3.306723117828369141e+00;5.125229358673095703e+00
3.286110162734985352e+00;4.474068641662597656e+00;2.951611995697021484e+00
7.607389926910400391e+00;5.821774482727050781e+00;7.216021537780761719e+00
5.824304580688476562e+00;3.399488687515258789e+00;5.390957832336425781e+00
5.737857341766357422e+00;3.385799407958984375e+00;5.135817527770996094e+00
8.319545745849609375e+00;4.764131069183349609e+00;8.238698005676269531e+00
8.110979080200195312e+00;5.519419193267822266e+00;7.862117767333984375e+00
4.643620967864990234e+00;5.747077941894531250e+00;4.430142879486083984e+00
3.706568479537963867e+00;4.756130695343017578e+00;3.503157138824462891e+00
3.485765218734741211e+00;4.673907756805419922e+00;3.174801588058471680e+00
6.711212158203125000e+00;4.552407741546630859e+00;3.643096446990966797e+00
5.245875358581542969e+00;4.077933788299560547e+00;2.356261014938354492e+00
9.143541336059570312e+00;3.953673839569091797e+00;7.752970218658447266e+00
7.329574584960937500e+00;3.301397562026977539e+00;7.117757797241210938e+00
7.557295322418212891e+00;3.280959367752075195e+00;7.424946308135986328e+00
2.974139451980590820e+00;4.485171318054199219e+00;3.444926023483276367e+00
6.860005378723144531e+00;4.204458713531494141e+00;7.011735439300537109e+00
5.294693946838378906e+00;2.858214139938354492e+00;6.682712078094482422e+00
3.516643524169921875e+00;5.247755050659179688e+00;3.558083057403564453e+00
4.955079078674316406e+00;6.056945323944091797e+00;1.789194703102111816e+00
5.332479476928710938e+00;4.475129127502441406e+00;3.257812261581420898e+00
8.478857994079589844e+00;4.337787628173828125e+00;8.533843994140625000e+00
7.309956073760986328e+00;5.118282318115234375e+00;4.820505142211914062e+00
4.409969806671142578e+00;5.674293994903564453e+00;3.448867321014404297e+00
8.188149452209472656e+00;3.151035070419311523e+00;4.545213222503662109e+00
6.660399436950683594e+00;5.025446414947509766e+00;6.830387592315673828e+00
8.735772132873535156e+00;5.673591613769531250e+00;8.122398376464843750e+00
2.063385725021362305e+00;5.000768184661865234e+00;3.635652542114257812e+00
6.816885471343994141e+00;4.575733184814453125e+00;6.967109680175781250e+00
4.677895545959472656e+00;3.964373350143432617e+00;3.174963951110839844e+00
1.013273239135742188e+01;4.039771556854248047e+00;8.126117706298828125e+00
8.243161201477050781e+00;3.743479013442993164e+00;7.579933643341064453e+00
5.973800182342529297e+00;4.123125076293945312e+00;6.241292476654052734e+00
6.146245956420898438e+00;4.005061149597167969e+00;6.377830505371093750e+00
4.429024696350097656e+00;5.691210746765136719e+00;4.319382190704345703e+00
7.377578258514404297e+00;5.277061462402343750e+00;5.189961433410644531e+00
3.767172574996948242e+00;5.223971843719482422e+00;3.559744596481323242e+00
7.969279289245605469e+00;3.087883710861206055e+00;4.497749328613281250e+00
7.938090324401855469e+00;5.605892658233642578e+00;7.753736019134521484e+00
5.118145942687988281e+00;5.366898536682128906e+00;1.910663604736328125e+00
7.638697624206542969e+00;4.852056026458740234e+00;5.110729217529296875e+00
8.382183074951171875e+00;4.478412628173828125e+00;5.256126880645751953e+00
6.849709033966064453e+00;3.763524770736694336e+00;4.058345794677734375e+00
7.422391891479492188e+00;5.106757640838623047e+00;4.758110523223876953e+00
7.012969017028808594e+00;3.473035573959350586e+00;4.014210700988769531e+00
6.927275180816650391e+00;3.606978654861450195e+00;4.100654602050781250e+00
7.656666755676269531e+00;6.003963947296142578e+00;7.024600505828857422e+00
9.107233047485351562e+00;4.485966205596923828e+00;8.020370483398437500e+00
4.304638862609863281e+00;5.023678302764892578e+00;3.773430824279785156e+00
4.165597915649414062e+00;4.651670932769775391e+00;3.669361352920532227e+00
6.501017093658447266e+00;4.052342414855957031e+00;4.231573581695556641e+00
8.114793777465820312e+00;4.086516857147216797e+00;4.717878818511962891e+00
9.254818916320800781e+00;2.681229829788208008e+00;5.485788822174072266e+00
8.307213783264160156e+00;4.618916034698486328e+00;8.471666336059570312e+00
7.704997062683105469e+00;5.590671062469482422e+00;7.816665649414062500e+00
4.537387371063232422e+00;5.979222297668457031e+00;2.132395982742309570e+00
4.460313320159912109e+00;5.181860923767089844e+00;2.060451507568359375e+00
8.538798332214355469e+00;4.086863517761230469e+00;8.066019058227539062e+00
7.853545665740966797e+00;5.226869106292724609e+00;7.849872589111328125e+00
8.749901771545410156e+00;4.017872810363769531e+00;8.183528900146484375e+00
1.001545524597167969e+01;3.594328880310058594e+00;7.697052478790283203e+00
7.341351509094238281e+00;3.647168636322021484e+00;7.147120952606201172e+00
8.186290740966796875e+00;5.304849624633789062e+00;7.934429645538330078e+00
8.686856269836425781e+00;3.841645956039428711e+00;7.974942207336425781e+00
8.625835418701171875e+00;3.917384147644042969e+00;8.099258422851562500e+00
8.262386322021484375e+00;4.919528961181640625e+00;8.057158470153808594e+00
8.194248199462890625e+00;4.467481136322021484e+00;6.821610450744628906e+00
5.103734970092773438e+00;4.210388183593750000e+00;2.338892936706542969e+00
3.887759923934936523e+00;4.341167449951171875e+00;3.839852094650268555e+00
6.238565921783447266e+00;2.731485843658447266e+00;6.388570308685302734e+00
5.141767978668212891e+00;2.592173337936401367e+00;6.650497913360595703e+00
5.326511859893798828e+00;2.646566152572631836e+00;6.541201591491699219e+00
7.035627841949462891e+00;5.347091197967529297e+00;4.580574035644531250e+00
6.336860656738281250e+00;3.009535789489746094e+00;6.754613876342773438e+00
6.223359107971191406e+00;2.910690784454345703e+00;6.670053005218505859e+00
8.904769897460937500e+00;5.847084522247314453e+00;7.734426975250244141e+00
8.794446945190429688e+00;5.880094051361083984e+00;7.834639072418212891e+00
1.048824787139892578e+01;3.992435216903686523e+00;7.965555667877197266e+00
4.322473526000976562e+00;5.605253696441650391e+00;4.202089309692382812e+00
7.124356746673583984e+00;5.308194160461425781e+00;5.700582504272460938e+00
6.665390014648437500e+00;5.892354488372802734e+00;5.374552726745605469e+00
6.784128189086914062e+00;5.734548091888427734e+00;5.704188346862792969e+00
7.652670383453369141e+00;5.973443984985351562e+00;7.145003318786621094e+00
5.628911495208740234e+00;3.905822277069091797e+00;2.581652164459228516e+00
6.302091121673583984e+00;2.972137689590454102e+00;6.235914230346679688e+00
7.178057670593261719e+00;3.964289188385009766e+00;3.953857421875000000e+00
9.810358047485351562e+00;3.514447212219238281e+00;7.529836654663085938e+00
8.537469863891601562e+00;3.425355911254882812e+00;7.136259555816650391e+00
7.585917949676513672e+00;4.150470733642578125e+00;4.209820270538330078e+00
6.831486701965332031e+00;5.036355018615722656e+00;4.213357448577880859e+00
7.138303756713867188e+00;4.881584167480468750e+00;4.284010887145996094e+00
9.229654312133789062e+00;3.208448171615600586e+00;5.443418025970458984e+00
7.474503993988037109e+00;4.043067455291748047e+00;4.116420269012451172e+00
9.357636451721191406e+00;2.970611333847045898e+00;5.442094802856445312e+00
9.101033210754394531e+00;2.527032613754272461e+00;5.726735591888427734e+00
9.429226875305175781e+00;2.631716966629028320e+00;5.939425945281982422e+00
9.323476791381835938e+00;2.609119653701782227e+00;5.842876434326171875e+00
8.679560661315917969e+00;3.510119199752807617e+00;7.283037662506103516e+00
9.153924942016601562e+00;3.177743911743164062e+00;6.620265960693359375e+00
8.404780387878417969e+00;3.493973731994628906e+00;7.142543315887451172e+00
6.464468002319335938e+00;2.724541187286376953e+00;5.631977081298828125e+00
5.123560428619384766e+00;2.738787889480590820e+00;6.537333965301513672e+00
9.907298088073730469e+00;3.685886383056640625e+00;7.813281536102294922e+00
9.196409225463867188e+00;3.668567180633544922e+00;7.772220134735107422e+00
9.922662734985351562e+00;3.592242479324340820e+00;7.708964347839355469e+00
5.563246726989746094e+00;3.986912727355957031e+00;2.380249023437500000e+00
8.029469490051269531e+00;5.188735008239746094e+00;7.724010944366455078e+00
5.190954685211181641e+00;5.950909614562988281e+00;1.798253297805786133e+00
5.406726360321044922e+00;5.930328369140625000e+00;1.874988436698913574e+00
4.855263233184814453e+00;6.018550872802734375e+00;1.899933338165283203e+00
7.319729328155517578e+00;5.388308048248291016e+00;5.203268051147460938e+00
2.198361158370971680e+00;5.038228988647460938e+00;3.667452096939086914e+00
9.068160057067871094e+00;4.631850719451904297e+00;8.151957511901855469e+00
5.150689601898193359e+00;5.774241924285888672e+00;1.324958086013793945e+00
6.783684730529785156e+00;2.956118106842041016e+00;4.868071079254150391e+00
4.089903354644775391e+00;4.705715656280517578e+00;3.607792139053344727e+00
7.523955345153808594e+00;5.894339561462402344e+00;6.914428710937500000e+00
8.046433448791503906e+00;5.682482719421386719e+00;7.687273502349853516e+00
8.946858406066894531e+00;5.029936790466308594e+00;8.427153587341308594e+00
8.770026206970214844e+00;5.772299289703369141e+00;7.975138664245605469e+00
9.240148544311523438e+00;3.159947156906127930e+00;5.338948726654052734e+00
7.107796192169189453e+00;3.525094747543334961e+00;3.976368665695190430e+00
9.259293556213378906e+00;5.334914684295654297e+00;7.752034187316894531e+00
8.957697868347167969e+00;5.758734703063964844e+00;7.823529720306396484e+00
9.100441932678222656e+00;5.465327262878417969e+00;7.766069412231445312e+00
6.345148086547851562e+00;4.522060871124267578e+00;3.431267976760864258e+00
5.501764297485351562e+00;5.609055995941162109e+00;1.897997260093688965e+00
5.589430809020996094e+00;5.459410667419433594e+00;2.068862438201904297e+00
6.483775138854980469e+00;4.593906402587890625e+00;3.464283227920532227e+00
8.088106155395507812e+00;3.527434587478637695e+00;7.294809818267822266e+00
