frame,shortest_euclidean,corresponding_column,corresponding_term
1,0.295252194029559,209,inhibitory_control
2,0.2891644324531977,89,default_mode
3,0.2253676432009128,89,default_mode
4,0.378091554005168,200,impulsivity
5,0.6943371440982457,107,distraction
6,0.1608409710979518,170,fluency
7,0.1242498451222145,170,fluency
8,0.0628482580672933,170,fluency
9,0.1744177440390925,170,fluency
10,0.1703957704518101,472,verbal
11,0.1028919006006635,437,strategies
12,0.2615856856502378,448,switching
13,0.5918644190001473,361,response_selection
14,0.1521615876790358,260,monitoring
15,0.218731851672706,260,monitoring
16,0.26402128226347,260,monitoring
17,0.267183112395233,207,inhibition
18,0.2072724662630046,208,inhibitory
19,0.2919004576952983,207,inhibition
20,0.2782476838893303,208,inhibitory
21,0.3749452939869903,207,inhibition
22,0.3234375465714819,260,monitoring
23,0.3515817990911141,208,inhibitory
24,0.3407323487812345,269,motor_performance
25,0.1091338270557553,170,fluency
26,0.089906424400864,86,decision_task
27,0.1730006521639186,287,nouns
28,0.1461581640654886,170,fluency
29,0.2893495195976432,170,fluency
30,0.2916998804537208,228,learned
31,0.2349916794055009,130,encoding_retrieval
32,0.1418548935722726,311,place
33,0.2441864894375914,49,category
34,0.3190343674719408,130,encoding_retrieval
35,0.3554749559586815,130,encoding_retrieval
36,0.2987543757693128,130,encoding_retrieval
37,0.4032080521203121,345,recognition_memory
38,0.3146067491729654,481,virtual
39,0.3614198988003874,481,virtual
40,0.1458632882781132,47,categories
41,0.3621669928552215,425,spatial_information
42,0.6234216471943328,215,intelligence
43,0.4740078877920079,460,time_task
44,0.3962245675454279,460,time_task
45,0.5055956131578512,175,gain
46,0.1511900373860623,177,gambling
47,0.2177429040203425,470,values
48,0.2398418261829036,305,personality_traits
49,0.1262975595253336,457,thought
50,0.0990235996147016,457,thought
51,0.2933364100102255,12,anxiety
52,0.3872691820979697,16,arousal
53,0.4911361642481361,428,speaking
54,0.3754590211440378,428,speaking
55,0.2502670631028848,238,listening
56,0.3746622623097779,294,oddball
57,0.3274736577601377,125,empathic
58,0.6462879413869425,72,consciousness
59,0.2279991458397788,130,encoding_retrieval
60,0.14722611078609,311,place
61,0.2113979434922376,280,navigation
62,0.212438428751693,280,navigation
63,0.1762881608475152,311,place
64,0.3398847768630643,481,virtual
65,0.1023088803478042,344,recognition
66,0.0877486765001208,311,place
67,0.1479205271538776,344,recognition
68,0.7562638836756168,308,picture
69,0.492013301131489,145,expression
70,0.306049773319081,9,angry
71,0.3754294247869097,190,head
72,0.1363301011535762,282,neutral_faces
73,0.1311885982925945,145,expression
